interarrival,prefill_len,decode_len
57.7776647858756,508,14
174.94900927891254,694,625
244.5185765688483,1968,3
30.307381253046422,374,19
539.0580695452988,1884,38
382.2160206768584,223,47
140.98964108427083,494,6
338.6326635828329,2043,3
45.0972862538288,618,410
392.18086490763005,1103,614
1211.088422862256,701,284
175.34181048796975,330,3
503.2438497189309,1416,18
64.60832640879,349,17
575.9697518663834,398,312
156.18476333796585,8,99
92.50305681373942,1243,193
403.71613544667554,863,332
9.285693415840404,1787,9
807.1959212029066,87,392
2.1515586608903656,1701,86
517.775604200135,997,755
143.87276209389503,899,27
607.4321737638251,55,270
1497.2083122479976,935,656
130.75244686968762,1690,246
392.40821227634973,526,25
409.8701177529368,578,30
388.2152327335398,995,43
115.39199791878995,235,12
1395.328779422062,1174,282
270.9138411930729,1344,6
856.4388211488648,10,152
549.59477031112,11,283
161.3806318304409,358,14
768.4215793228925,7,32
230.86571477851686,1313,2
973.4854238734309,235,32
397.9592313392526,1553,8
975.9225003247776,888,89
539.1464818162596,293,320
590.5870916394423,1123,714
318.07975250065783,1274,11
1428.7854825235338,1078,6
472.1357797738192,1427,2
252.06674200527323,363,33
426.2413135652605,796,51
8.85932753583975,563,8
164.08101326078648,404,136
493.4035182001554,400,17
156.61696953202625,45,283
439.9428851385532,45,43
255.9822053462645,1445,350
66.54810213000617,446,14
161.9310306635009,763,202
385.7775865616274,680,514
408.5618624581955,276,938
390.4364430973892,257,327
484.1185820076757,228,21
482.6741010861382,1518,23
258.1076584190591,956,8
1037.08981444908,1435,18
209.45046007886785,737,11
261.69671403353453,838,809
1017.1038298413182,736,321
750.1246005633822,32,165
556.351766182026,782,6
48.280066035788735,116,68
1151.671835223106,1408,9
572.6205846850754,844,239
3092.7514212753026,1101,219
73.9977539192053,1086,2
926.1297338249018,404,317
81.06312187939955,1081,87
437.01321858234047,985,908
60.42683891541081,88,35
861.2246399448486,1501,387
752.785871116454,30,417
384.8598621634176,403,103
239.02629912123274,1349,21
32.76589253780076,355,702
546.4862027650869,455,399
276.25100630712774,1632,176
585.2956266919143,471,148
920.124679166123,1471,42
1695.981852390386,137,830
885.2924494934174,1205,704
5.386621541631643,143,429
204.00129324032542,808,13
598.5363961644198,403,14
86.07770281095102,283,13
336.5170773163881,790,22
25.540596714544876,1408,2
102.00649483160889,306,180
8.54650092344984,1670,232
721.5601035103753,100,19
115.88832550378291,456,15
193.67181926079596,155,266
1203.3000565775844,399,36
557.1642569514225,1018,24
14.791684770471296,390,31
82.26621328094912,813,162
444.1061231194848,1085,21
393.5650946720989,392,378
124.19112174730354,995,357
1244.0448903777828,687,582
435.1221560808626,382,71
350.66499059894136,513,911
407.4873478943171,1341,24
598.7590323758714,106,228
170.91954094340002,850,8
232.1669093010538,1433,40
107.6683734723305,843,174
94.1860795681072,525,458
1320.7202824957117,554,31
615.0159668087439,1382,118
308.2260950442468,427,269
117.94869136734292,821,382
134.174925983894,1079,32
27.328439150968272,454,19
260.52459857505613,738,110
170.82048086968186,955,211
544.8494234562385,249,16
216.87601993719701,1890,12
90.49953619937223,982,510
11.423247048386788,39,442
31.825221382034496,653,291
520.0175993176134,815,79
276.379989746014,1297,184
351.5976257528494,173,16
1037.641162300101,184,14
2120.984078422631,963,646
111.76732634583848,1573,61
497.32774045071955,756,994
139.7050971618585,1486,7
9.53929747281498,1196,94
649.318154741565,15,120
176.31437848128292,1327,600
221.09183646744316,547,269
405.7151630124332,599,34
812.8655188773741,277,18
453.25909872674976,811,538
942.0897025777743,107,271
146.0912717681241,452,12
731.3003243496402,20,655
93.87326632937018,421,9
1395.7415510590627,1458,128
531.7089348344598,1159,11
110.95702530402103,1787,244
1346.0480911111038,318,280
600.0036611125436,552,306
133.92066503018935,262,2
109.67932461022059,933,943
333.81836370343626,1590,15
11.884685676609731,1386,8
106.29714937043187,552,19
252.72611514228504,141,17
214.25210460997678,1261,166
284.72197154259584,437,46
148.670178315301,917,210
404.01630114811616,1121,10
911.5607932894413,259,11
57.157754621081246,827,25
333.03946718435736,16,66
64.75064271153984,1129,77
576.8286528207999,794,561
230.52796874986097,733,17
380.9729143920821,598,14
92.55257580813911,582,88
71.5317790393285,1862,14
306.0756951438217,1811,7
200.89389479642043,835,835
1289.4335281288113,599,536
662.6536147588719,378,290
631.2974066766694,1108,8
1069.9391830743261,318,28
39.821066978040406,1130,239
367.2648042253418,1252,133
401.46974654669,1409,618
1494.1697236528755,1010,28
157.95180716645643,18,452
125.95562999686133,724,56
48.31413555257777,11,145
7.573070954353265,540,186
1212.5981699079994,605,319
506.7016079425005,1111,327
703.0074160469734,1565,115
151.27308950261613,416,169
403.60253067162495,561,322
30.213490761502083,855,512
303.91211626880795,54,231
1734.410963081571,1430,494
956.1401581783728,25,23
188.67650760716157,545,526
1489.792409503982,424,398
120.49239501023686,7,301
1363.291743139673,860,782
1296.7498006850308,415,271
733.9240120999552,314,322
455.06909574454966,785,370
948.0052283705159,359,317
158.5157963226751,615,451
864.0464942356613,1161,214
439.7768806562588,408,486
6.091540943456921,703,700
194.98780412438524,1106,428
73.29558654750109,1148,20
1832.20562985767,883,10
297.5073569384305,945,13
314.4884454179726,511,25
466.37124009669975,41,38
210.19031891178153,315,244
67.3028729304658,834,18
789.3181119844371,1067,20
96.24378782076305,1475,327
327.3350026989112,351,300
116.11949017982167,683,375
47.07125115958386,570,308
906.0070240571584,5,163
1649.80158260821,137,205
1481.12596915344,1125,73
1083.6057570197393,12,405
679.9678803951655,25,59
185.22645759193637,1465,2
38.66490932186581,41,329
239.070930223833,32,77
120.8093553993072,1103,215
64.97166326007806,13,98
25.100515245518046,543,9
591.1533004572049,1097,10
5.254058860821695,361,448
673.0076145013159,311,6
72.65516987054174,1905,30
37.879894112244216,346,18
42.91407930457946,888,24
509.6628275880898,531,442
128.69669427003868,747,16
249.44353062065798,46,159
372.57981335060896,78,127
900.5977520020289,35,221
593.5751457902272,929,15
144.07315703411757,908,993
64.44246327802216,1132,888
26.04184513143848,305,398
164.09660308484231,14,360
138.9584278942859,583,17
278.4294675975861,1619,59
525.5960653723173,497,11
543.7697139463268,369,23
152.41295347817288,794,497
218.4767976311278,284,394
91.36253100982523,1517,79
710.2836534229027,1225,62
26.75561265344232,311,323
545.8346835640405,533,10
689.4698183028132,1060,7
686.8172851598293,1071,2
137.29146451284882,1617,48
213.99152032897612,704,712
404.9191507441773,1901,3
145.63833390536058,1560,67
211.83544053026407,15,380
100.3283035722957,1604,14
281.5631054158379,289,6
20.863110222009443,399,8
735.2767340443341,315,27
36.607478504768686,1298,54
334.4207276212598,24,221
167.52059003445243,850,92
393.9051389215035,757,339
1465.0554297325255,7,181
474.1691901426713,283,148
16.458436244648247,77,203
257.29152079440047,1329,137
326.1185284366285,1702,180
351.20152303006455,271,53
522.8778855202017,302,12
148.64954289508393,446,299
63.064333426022884,223,16
227.9736343265271,1403,96
1432.1505801279504,1195,413
94.71322553576866,457,173
1071.1954127157924,1272,16
358.78263401673837,561,90
279.0778718298943,1004,20
977.1070401188017,360,238
280.504786041395,644,26
588.7826179756262,968,309
232.77827563520333,1002,369
1071.483255093871,1337,10
535.4348320249042,835,82
549.8120128307567,830,41
181.52272268814102,471,233
646.3009440238451,1404,74
462.0659017871248,1225,28
125.4690384261374,181,12
79.99773636793883,1238,517
727.5685126836443,1361,652
1462.0594191294158,225,10
280.1122053521453,487,41
408.6863579880009,53,94
891.4180189762646,15,262
279.3405988798715,1588,3
1386.945195622948,146,180
391.9703377958453,495,12
785.86025921925,1482,278
1094.9393670383631,1045,775
772.678821875284,1564,2
79.385857216315,253,61
453.15634499535054,727,582
232.32889317113654,1037,36
29.607175206708547,1177,18
252.20736581404051,408,30
136.8358327216987,955,303
864.3333360256474,1008,2
15.48427677293137,1552,15
1460.0054322676026,506,271
200.72090690540975,617,332
201.67077103899206,809,108
7.526071706981105,1519,46
93.64675109419704,895,922
234.48091342324975,773,32
1211.0575165468758,1034,113
47.96925798953664,1212,70
1328.420390536974,1333,13
930.8773337370541,144,101
276.76972695405163,589,26
180.82998539584642,612,5
121.11311262690995,515,545
435.713160036692,762,358
15.375507885915521,1870,12
7.190455330579685,401,8
256.0038305651514,15,702
32.22946101429878,380,281
132.69641664018266,550,3
114.26323245890869,1508,113
133.46106302566005,1261,18
64.21746877546185,894,289
5.535654746626198,1151,341
56.09829127482651,761,6
440.49951323421874,619,303
1672.9426082153846,293,270
2121.2706398942028,854,156
240.47122180546577,994,61
81.31509065473296,734,442
465.47089665301604,37,859
308.0884348756142,372,248
2079.005297758605,94,281
30.872757885940906,1006,322
698.9434835864325,1691,2
155.53701097914376,522,430
126.31094644314989,375,5
496.5500864197913,343,12
129.11849792381187,1653,22
501.1166039883926,812,64
332.97260863548803,192,1284
252.25239955834627,734,23
369.8192865004442,365,20
154.67251160245374,942,736
560.5175807849851,263,10
244.98230576945986,781,161
204.40681344901768,1192,17
806.4399473734948,1055,13
1183.920497726631,14,7
21.531095299241024,180,9
121.04332625447809,1473,8
195.88919472888142,16,261
771.2997841023771,794,142
1935.0928490193162,54,14
1587.5911946208073,893,11
1075.810196158337,1934,36
160.80794715210064,1628,247
2207.872069782923,1519,11
131.1584423708489,1063,570
51.17464555441822,43,19
1378.271235160475,1409,7
121.51613662086683,693,271
535.0563331467777,588,585
27.487257775289248,1531,279
599.754545282857,447,194
975.8639447675625,18,245
145.39636208950125,843,548
217.83580404046302,9,350
214.34429995050345,20,31
631.5241600088572,1204,554
124.13979096591,259,12
86.20101655964154,1386,395
272.70853390873634,13,329
165.9789002599394,632,11
835.4405837166049,1208,395
124.10055756611605,1593,27
319.0571662006311,1125,158
1306.2515643055642,1914,92
459.48144241619207,1014,6
923.2386297451955,739,13
1287.7310447989298,947,246
635.1353135280443,450,32
549.7404985828446,1052,132
1573.0029307814712,15,315
2370.3450055761605,1155,67
274.8135535433506,26,671
33.602914655548865,28,245
158.36952136647716,1705,11
75.56252146510943,385,106
247.04123561495322,378,37
64.34064151447032,984,355
423.60621571944426,1582,13
220.6058131154018,1422,569
1031.9893883486502,194,63
1570.5706825255118,606,16
361.87844826151286,674,185
146.8984236918726,597,349
410.08137873262865,350,50
1038.0389133490496,1451,35
238.67945659489772,1230,19
367.1482452992751,1396,64
144.90394373684668,1417,81
277.8444661453846,354,310
234.82770372879418,1492,248
130.54579512142695,259,25
322.2625464138959,679,18
169.88148821282533,1242,15
213.4237001923226,854,17
340.28720002302947,427,17
634.8239038886599,1930,10
185.47489870326658,444,8
1179.0231580597658,1520,123
906.4286045647467,1147,247
22.818563665438372,504,11
133.73741876524926,993,24
270.09610507167235,881,26
50.521545301097035,238,42
195.8587557475029,37,25
615.9766019946093,572,10
521.6198082662492,1631,134
445.20164921290257,888,206
566.7191297638719,46,37
104.83070980069111,654,237
191.12761639808105,56,62
515.5476322164085,189,32
966.3573980956717,774,435
358.6544897268313,317,38
151.89057336099003,1152,380
14.035095281201448,1849,8
566.4166904058426,1146,16
3.6184445169395913,134,193
213.16435151300263,1872,19
345.67599895765596,1204,265
1166.8463868789968,1263,342
42.85960624225676,805,732
238.07033749485703,1210,305
11.251952188010504,688,129
191.76197789980293,1654,22
445.0160169299174,1412,20
149.58189155965832,306,15
107.61410933921287,304,15
56.2114577262251,1138,536
393.4695776259723,1061,59
543.2361872981464,1169,167
509.5364618145173,1426,150
1359.180922813963,460,8
1.2374281938355318,69,287
476.2717579278364,1743,110
419.32425404061735,1033,23
406.1845543825189,19,348
1504.29667751416,1592,391
7.778569803386787,888,806
545.0586428346305,572,26
768.1290999923249,279,245
325.9229663938173,421,18
185.78873667645897,656,422
715.2715657405477,1457,40
46.76652909330646,735,432
266.72465624681644,402,459
335.48341044939735,1062,474
541.2698236563125,1325,5
43.55862188346517,228,230
118.15280044173979,151,377
241.4372552932417,1168,62
446.30492489651493,782,298
996.5807778797047,53,754
440.91417443266687,4,352
65.48512258308206,466,426
1801.8096703078782,552,6
938.9954136356108,746,469
319.36162827944514,1255,468
1168.2366805470404,1304,15
356.3588705243599,465,4
1173.9120849016313,1510,55
809.7615131410001,857,2
1577.6045680560337,469,340
1153.37940920025,12,885
16.776715568920263,1088,36
87.81511873584358,487,869
225.3160068088283,998,2
1389.5001399416124,1124,486
163.07028952192104,751,300
79.95897649558984,652,1042
993.9350480675998,307,262
270.3098455272384,154,533
1090.1098880460738,1324,442
79.82984660867929,925,16
494.67514208575653,755,422
265.27524269612377,673,79
36.37492683953501,794,31
545.029596083088,1165,423
129.92902732587038,15,351
18.47843537595202,852,712
28.258810647963355,88,58
28.810716489406282,241,349
1089.4026379038783,1655,4
615.6010412418564,781,51
1043.837256172917,1198,50
510.408497233911,78,37
344.1232703476987,249,186
165.96441255856286,77,8
2832.415850523237,1465,22
205.58325493848912,1756,8
290.7901509234096,656,213
217.23859924653445,484,23
1777.6662320095297,75,380
87.75218287777668,779,760
181.70472357798954,1088,688
521.3826096047898,807,39
29.8485024144854,311,12
427.2367579372888,1169,396
296.8734732523595,185,15
152.72003637317755,768,2
124.50342118634505,1171,5
330.33245228729766,758,11
209.71488166496422,1090,17
278.74842127998187,36,164
188.20597987260277,877,867
1610.5834340917684,874,822
65.47349594500264,1295,27
46.5442939494932,64,7
192.30522375553207,26,268
408.73412452659085,238,10
492.0642049879981,914,325
231.43495129502347,58,96
3306.7323433423094,1453,139
198.26261345393615,379,22
584.2295550786724,1010,797
463.98123591083333,880,70
766.5987393714993,226,756
1709.3250635261707,423,13
1008.183231956574,41,648
661.1691707031466,127,31
547.7263426306342,47,23
186.8423526375114,1885,147
73.0513282595293,218,3
29.569646441917747,1703,49
126.60215950297426,1091,13
258.8020793390464,1006,77
337.4339432081797,1554,274
678.022129735092,1048,358
1457.3184655064522,708,413
57.04826934939195,404,768
51.736381436172834,1190,120
407.24745980742586,73,28
625.3961270276046,267,27
861.6523850277068,336,19
1255.429433153869,818,24
1874.2558599180097,351,11
233.3692184750826,1336,17
218.7778586161285,1542,261
73.1173574834807,1192,126
527.9883568683366,700,304
488.8370623118558,669,772
905.5795610761613,13,116
46.77415995476547,1422,13
314.8392463028123,967,225
397.7508180067981,204,15
126.39436988737668,528,11
84.64276916723695,378,10
897.4277960991878,417,445
27.573953690387707,576,917
290.7659318970428,1185,552
56.27906406370799,75,8
279.20191130690296,810,2
1787.4930717483087,1363,523
251.94877493164248,347,601
889.5015220441027,258,258
57.045723238210016,347,370
144.6525216367935,106,130
236.4191642559245,975,40
233.3771761312518,1309,390
508.73773563731527,35,540
193.22962104311566,1516,13
571.8622421912478,357,6
466.0092256466129,619,576
232.88160408847077,694,625
258.38246351597974,1218,10
435.7878595668433,608,78
33.19591296494709,1196,30
790.0614355820812,869,11
484.4091231906106,1921,17
592.4012911868718,695,649
351.93688428125785,1133,26
53.517732463583265,1315,18
237.37313348956997,723,137
237.63288729752614,330,88
177.00455642884668,803,18
13.900798792030521,1149,31
611.0027045713092,326,13
53.16190337143778,1122,36
426.14250935847144,9,239
555.3169004744191,440,148
460.4675108887284,917,118
1461.786882559728,192,41
49.843137635140174,1159,458
922.8177264538551,1487,464
13.542741170371361,228,47
349.96072355216245,623,387
236.76500590239934,10,279
339.530862034407,206,2
207.67432190581658,96,300
96.64967832879074,1440,509
8.826562281214835,43,87
333.7700709665315,719,512
845.7550746874797,267,17
213.5557598642366,769,63
115.26385260885125,252,403
38.38173295627061,53,346
40.763921435930456,432,10
114.40149924072585,71,792
48.171949269048184,1377,4
140.77201947804122,695,7
31.286343880353193,412,22
31.01982895381621,645,14
886.79393600246,881,24
80.85974765603174,571,769
374.97554628526876,460,305
678.7721515746828,930,9
278.6556311507566,1650,19
76.10980125374097,278,13
101.77776290024569,17,203
259.36828377556384,92,7
343.4387968323287,625,3
196.5358616964268,258,251
695.257557044158,462,65
635.606550626558,73,217
1197.8064119427502,667,705
13.430831421920011,458,588
1033.3259076369793,459,15
227.89318501262954,443,216
963.1049808995457,17,345
536.5566753130058,1730,12
1997.7142005088174,1207,750
651.0313287513313,406,357
207.27470294207262,822,232
317.8403611941349,660,18
215.87600059686872,1039,215
207.53894802995046,645,242
138.2071482781248,1337,447
313.1977485241038,132,183
523.376661761542,509,232
148.48768258351132,13,21
339.7191614589241,92,241
57.07924817103178,429,7
79.62021567443166,376,267
21.91414879734693,839,53
1614.2818154428144,565,315
1.768147153783196,660,138
89.92945837548305,375,346
433.8223259525668,266,33
38.79836002345947,449,287
976.5458041314376,846,304
581.3074358858736,8,350
1551.0540742563232,966,41
323.90220757697534,1677,303
163.31510880681566,425,412
364.5250164115173,332,96
1221.0399698878764,1019,160
336.2545198707347,1717,251
142.12208528011078,790,8
959.459830536285,518,13
212.61062378669686,446,378
0.6328263821461841,597,24
130.10294384367015,228,141
175.11683135532928,1693,206
894.8198369028688,455,21
280.419685142716,527,337
268.8200301819318,1052,207
187.2581289279151,422,280
971.8539835638697,1313,479
1326.129858634493,394,100
2201.004799061008,936,211
216.13419180815885,1517,33
1547.7672324296248,201,394
717.5489712790767,906,281
514.7669953320216,1739,275
128.40738540447634,830,312
111.51070618660191,1178,5
83.00764425977088,731,3
1170.6486565147125,678,8
159.19937569365877,70,1296
275.8760167122348,1108,15
311.37612851452934,1496,237
688.3890964435525,916,109
850.0144324292338,1693,271
68.45495595659558,1068,383
254.49264711726983,354,20
845.9819973558631,816,405
778.9401633417564,1519,271
49.39249022871624,370,11
77.74038509179228,775,61
165.80166209819552,743,392
35.817051257122785,924,854
252.70826415881876,1028,12
52.05058584966727,637,13
383.92388876915913,12,136
129.41797982750057,574,21
414.8173348107446,852,1162
57.1545360966651,196,647
1702.7996809967246,305,99
1232.7016302805923,14,163
227.3126720694157,1924,50
126.76915812765604,1600,165
131.7545892239204,276,507
301.93091852455893,368,4
18.658055555784525,356,316
466.66625511348656,574,59
239.89048893186208,680,231
216.6224355246728,20,823
757.6660683076524,320,20
564.3674859591737,1683,9
1410.9244333358574,1644,2
198.29311687930976,560,461
1041.51304391053,344,447
671.7866568033128,489,128
202.18111785428428,788,15
444.3320622055462,1671,20
155.6471727831001,753,19
948.4125095845072,12,111
54.52108109122943,408,7
109.16962789398993,372,370
92.4145984604501,1788,30
235.83164418475334,787,779
625.0997577761937,1393,409
342.1550819039504,1703,153
305.73653627207415,1500,26
0.24965210975949723,553,332
253.29560463898588,153,242
30.017453632470176,105,13
106.7491204948028,185,49
1231.5692066764577,1713,266
110.89323729475717,1183,89
893.398303792972,525,13
742.4047705431449,770,2
79.24000855831243,1599,51
425.4507720547481,192,111
56.190076175148974,89,10
594.9906810210067,517,12
463.82937036801223,14,306
763.8795748679606,267,15
298.3970781226771,1144,766
1126.1689540371754,490,267
23.13518168751317,1129,11
158.43063261884961,749,78
573.9203054878877,419,460
247.53028475910088,417,388
86.80766343642219,814,81
51.842159121267535,1576,4
777.1995032190649,1140,292
292.9490622342547,2034,10
978.0468791207927,1380,320
604.1554776706032,1046,763
240.99144752965756,573,10
213.771010402995,768,354
331.39356965985473,310,353
1005.1498708173276,204,99
611.0450498975105,279,311
2.361731005876416,882,11
541.570817954629,1595,271
1151.8126217341005,84,240
566.6044236499121,212,10
89.05421866085699,651,12
302.04118295008885,2037,10
69.1156205564327,524,48
203.29986560172762,33,712
1264.676612131187,209,14
1173.9075528884198,9,169
151.97802147363038,1390,230
189.69443481909065,443,12
419.1191057624123,9,267
1509.5698002966328,409,946
73.11341867635478,1067,15
135.74722363888577,20,52
945.3541939851605,1483,24
309.51392530114003,1378,26
1047.8855363868465,1333,52
93.8070056289615,826,12
347.75616466404125,650,429
180.53727842366192,955,173
173.98440792644624,212,9
270.7084863375739,182,11
259.4434647401751,1808,11
202.12579247495913,816,25
1126.747521355313,1074,16
601.5150728139,6,237
594.4178857154515,1677,21
156.51127515111202,194,1677
394.0853183683248,421,25
690.4707760635961,9,327
725.7733948035002,1411,36
193.09871833309316,182,6
673.5898430040405,195,25
608.6419888215324,431,28
69.74909863797973,348,300
918.6325078020049,10,101
266.13990951911836,1020,20
304.6083982732486,832,35
271.9434325963641,141,27
383.53064054853013,429,960
443.7329081656726,12,256
315.20590811591603,674,667
921.5165773742993,1611,274
451.7251007118916,278,434
234.60954321162072,507,458
246.4180633148468,1560,109
761.2135954610402,620,21
195.65949765140974,1216,94
108.60139192706883,1339,2
27.98602785802834,690,7
954.3726867695834,841,211
1146.3873711891413,490,533
58.50054924654518,409,16
186.1381417692037,525,503
88.14765153250535,200,34
56.31239710645641,244,76
1052.001558892695,995,282
26.76975764372204,1158,26
1799.5912579780113,535,65
46.36561495381628,982,442
910.270017485121,1153,523
382.1154607974242,857,183
209.7075822203133,32,75
191.57522847662128,1288,751
647.4027389283724,204,27
172.66912350050742,906,15
489.57945160739655,540,24
332.98924547555487,1587,30
303.3241929656586,811,45
1057.9542214148128,695,185
369.77540281987336,1646,389
801.6749814501583,208,13
591.1186000978089,688,379
17.974973261104527,291,36
678.0755162787021,150,28
111.75172023932087,230,35
1067.2403395618994,229,599
20.05608000083453,1034,527
185.17633673659796,777,60
48.02918142964675,776,550
295.0764682184806,1956,15
783.9648363800886,39,27
161.86916785637735,834,18
74.79744639919451,778,33
183.257694530381,847,24
768.6237323557496,35,25
69.1517494793351,422,40
117.9178178808405,183,170
32.61120336296416,1498,548
559.1724583909267,1477,93
229.90282139066827,1546,12
170.18595709802383,750,12
579.6900210315654,610,18
187.17225522327888,1766,9
594.7943582860186,1675,2
771.8755875068404,1010,155
112.2146216595567,732,998
1665.238739674877,976,313
80.98944696373961,834,780
157.10874808991383,836,415
90.60631979661619,1422,13
193.77935356580323,214,205
298.99134456020784,282,25
337.60573301715306,361,360
878.3789489472817,589,9
1006.7512940222449,921,272
113.6432105196385,464,13
445.81899396333336,1041,380
54.04168864774125,1148,17
280.81384703035957,1469,11
177.87431136341115,391,2
173.95644043905557,488,857
301.2153385192145,1384,10
598.260633937087,761,274
32.773585048652784,759,4
966.1249386637919,214,28
606.7762114546041,1683,62
88.77302275425373,613,12
1279.7818303849838,1478,5
322.675197278593,586,136
3913.614058997097,1887,10
100.44514212007242,449,2
349.95221487921305,22,460
156.72673175035908,771,721
165.78514916988112,741,638
408.7771387690931,16,44
1164.5491273700823,231,10
747.9358821607092,796,53
588.4078224146452,1320,2
374.44779196410707,452,34
1167.9454921027468,355,214
309.936235467102,695,443
946.3507841225866,156,11
820.8717337977471,796,383
109.9835547659811,756,386
674.2940867914358,212,42
5.598094634901938,1208,92
178.20902712925502,352,331
119.22430250159667,1227,279
323.18544863839253,381,46
610.305408915179,656,33
46.98607033919079,16,247
330.71816801412797,1963,37
1274.1890673667347,1795,6
118.67820851690557,440,18
516.8182993991421,1553,221
410.81049683001055,734,101
4.623852329099702,687,22
295.2831827939605,644,10
563.951217539624,149,27
20.558476590341346,408,201
967.444033965816,832,427
335.60631198077454,805,768
14.235855051884686,282,246
116.17641414822181,1556,20
1404.3833327693267,1775,56
399.10356606140283,1069,29
51.97624201471993,1714,289
154.98872143137658,1077,392
278.9029939287852,752,676
9.678919306397795,288,26
242.45698576613225,1754,149
307.32965353506745,1378,9
127.67446978546826,547,409
406.0727338133042,1300,23
639.6980842471246,321,19
122.95795620495822,84,781
442.9259060021285,91,42
466.5611303259513,767,461
1356.3228909040627,994,207
688.6046483872224,916,41
862.239475981066,13,35
308.1911964697094,215,198
93.71198689013313,203,29
2503.4599221911976,1773,52
63.32426825989004,1667,18
291.4887857607967,435,265
32.23879368079788,39,231
1316.4543391320597,1769,9
1531.5496990007916,34,279
580.9308028946939,952,19
196.9243000472327,1501,77
134.19081702311428,438,328
140.93602349382823,859,43
62.24300742835864,1541,55
341.0948507017965,1153,410
69.91462253037233,341,288
174.1102437828222,938,260
450.4641102080103,563,7
594.4122116028565,1709,137
11.232979238787202,1357,15
257.0616778154899,1478,11
482.70212318705876,161,710
877.2559547183334,673,157
294.84609856349635,488,19
1591.0542845080429,2022,2
141.14091849402263,1034,218
6.217499123698932,1551,31
302.24899830004284,1708,10
135.25357995102058,68,180
793.4484264979301,385,621
121.130119243614,1095,17
170.04617508632344,538,452
716.1187685561877,638,272
574.0657662921736,719,931
373.2851765315389,178,7
557.9903437076589,765,280
247.94500466319533,387,903
2.433918183109772,440,68
5.2206126709994845,1915,15
327.2440894693054,1272,15
39.75550816644075,484,75
23.966180602430434,322,17
1539.3272526288968,1124,10
895.5493073181016,815,80
75.38594343503875,468,242
0.30374367136107566,606,80
1299.0175741497685,1396,33
149.11121979800214,1429,324
94.02017182779895,869,134
537.6272994037513,456,432
52.7098606316824,284,517
140.5294427251746,677,561
1688.0794753042298,1148,27
466.3588876649652,573,127
336.174737633363,486,12
231.93721211736988,807,174
680.8865620882799,692,11
69.45684788950291,777,778
1564.131152177243,198,12
902.4762001209308,1236,16
439.5141128700861,1565,76
20.04748236597103,1861,15
551.6932774054304,31,378
1117.7695080593946,1690,19
339.90879398806663,408,8
199.9103347097006,33,413
58.58221071274481,1481,66
642.7855969387231,417,12
988.8060247819983,1321,438
48.292695051599644,254,21
650.4659471453643,1726,53
7.8663739595428215,262,15
1560.18893164184,121,25
436.41721554262165,151,99
367.51660320673705,849,263
160.414018860008,102,7
1211.05916042912,664,591
141.31094195282125,556,686
805.0804882710194,132,768
1923.1893675890065,773,22
699.2856948711219,1015,387
334.5677959124005,17,185
31.249533957944305,101,4
292.3167973186571,1372,466
263.63837919187273,573,60
103.60901703265478,960,750
251.85461300314122,650,11
202.41824858797577,552,7
81.71385561214618,37,291
266.18301174899153,1036,113
139.38102580175502,818,360
337.49720787169,32,130
16.36254006452332,343,4
1082.0230604950004,308,209
774.7663567140135,503,207
367.6619457884965,711,16
872.800219949218,728,759
1499.712101256179,185,13
53.54095349411528,959,93
455.54419886679904,413,19
2839.5945398274334,1635,142
2017.6709167252739,634,9
422.6893312133571,776,12
